district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,7,16,1,0,0,24,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,MAIL,1197,3,4,2141,2141,1204,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,ONLINE,81,0,1,229,228,82,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,FAX,0,0,0,1,0,0,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,SPECIAL NEEDS,7,0,0,0,0,7,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,FWAB,0,0,0,0,0,0,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,AV TOTAL,1292,19,6,2371,2369,1317,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,EARLY,672,0,0,0,0,0,HOUSE: 01,2020-10-27
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-10-27
02,Fairbanks/Wainwright,INPERSON,1,6,0,0,0,7,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,MAIL,827,8,1,1500,1500,836,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,ONLINE,211,5,0,493,490,216,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,FWAB,0,0,0,5,5,0,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,AV TOTAL,1041,19,1,1998,1995,1061,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,EARLY,403,0,0,0,0,0,HOUSE: 02,2020-10-27
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-10-27
03,North Pole/Badger,INPERSON,1,4,0,0,0,5,HOUSE: 03,2020-10-27
03,North Pole/Badger,MAIL,899,7,3,1696,1696,909,HOUSE: 03,2020-10-27
03,North Pole/Badger,ONLINE,223,1,3,524,521,227,HOUSE: 03,2020-10-27
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-10-27
03,North Pole/Badger,SPECIAL NEEDS,3,0,0,0,0,3,HOUSE: 03,2020-10-27
03,North Pole/Badger,FWAB,0,0,0,2,2,0,HOUSE: 03,2020-10-27
03,North Pole/Badger,AV TOTAL,1126,12,6,2222,2219,1144,HOUSE: 03,2020-10-27
03,North Pole/Badger,EARLY,513,0,0,0,0,0,HOUSE: 03,2020-10-27
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-10-27
04,Western Fairbanks,INPERSON,7,9,0,0,0,16,HOUSE: 04,2020-10-27
04,Western Fairbanks,MAIL,1989,8,4,3511,3511,2001,HOUSE: 04,2020-10-27
04,Western Fairbanks,ONLINE,105,1,0,302,301,106,HOUSE: 04,2020-10-27
04,Western Fairbanks,FAX,1,0,0,1,1,1,HOUSE: 04,2020-10-27
04,Western Fairbanks,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 04,2020-10-27
04,Western Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 04,2020-10-27
04,Western Fairbanks,AV TOTAL,2104,18,4,3816,3815,2126,HOUSE: 04,2020-10-27
04,Western Fairbanks,EARLY,1160,0,0,0,0,0,HOUSE: 04,2020-10-27
04,Western Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 04,2020-10-27
05,Chena Ridge/Airport,INPERSON,5,9,1,0,0,15,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,MAIL,1476,9,5,2715,2715,1490,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,ONLINE,110,1,0,285,284,111,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,FAX,0,0,0,1,0,0,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,FWAB,0,0,0,1,1,0,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,AV TOTAL,1591,19,6,3002,3000,1616,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,EARLY,969,0,0,0,0,0,HOUSE: 05,2020-10-27
05,Chena Ridge/Airport,QUESTIONED,0,0,0,0,0,0,HOUSE: 05,2020-10-27
06,Eielson/Denali/Upper Yukon/Border Region,INPERSON,63,8,0,0,0,71,HOUSE: 06,2020-10-27
06,Eielson/Denali/Upper Yukon/Border Region,MAIL,1472,5,1,2410,2410,1478,HOUSE: 06,2020-10-27
06,Eielson/Denali/Upper Yukon/Border Region,ONLINE,219,1,0,555,555,220,HOUSE: 06,2020-10-27
